"","cancers","SA_vs_TMB_cor","SA_vs_leuk_frac_cor","SA_vs_numImmMut_cor","SA_vs_num_TCR_Clones_cor","numImmMut_vs_TMB_cor","SA_vs_TMB_pval","SA_vs_leuk_frac_pval","SA_vs_numImmMut_pval","SA_vs_num_TCR_Clones_pval","numImmMut_vs_TMB_pval"
"BLCA","BLCA",-0.0184334050514699,-0.0074194782909275,0.0087058217228359,-0.0266356486855439,0.820407369968107,0.579551810012786,0.823962660271326,0.792852731878721,0.431755331277595,3.10829673522049e-133
"BRCA","BRCA",0.0110301078973978,0.0204823420927191,0.0356541715005273,0.00674330333730725,0.769495334915848,0.592064974653253,0.317060396510836,0.0956433618809352,0.741447001480276,1.1908655198801e-282
"CHOL","CHOL",-0.115966386554622,-0.0117647058823529,-0.0773388834301649,0.0918991475232189,0.469189226143,0.336780813947475,0.932616642476141,0.52123649038495,0.448670933276642,9.96649840962651e-05
"COAD","COAD",-0.0566842254125593,-0.0402127366572792,-0.0416722754676782,0.0232270648960003,0.715556911879595,0.118480973189263,0.235066276842217,0.247380969126601,0.487686691442742,2.6033111185277e-79
"HNSC","HNSC",-0.00311412813178028,0.045303234776919,0.0309010965443711,0.0927661358737675,0.801879103059311,0.918276888923946,0.131920299567846,0.31340723428687,0.0023284667676017,7.58203219659631e-151
"KICH","KICH",-0.0423076923076923,0.0582750582750583,0.120135794856241,0.107771504593192,0.583869850721074,0.618341746917542,0.489086169472136,0.167507045328441,0.229627894471832,1.97079900321043e-11
"KIRC","KIRC",-0.0627156698830937,-0.0557809135317523,-0.00275931988540376,0.0228667158811713,0.613298067965834,0.0731342588230564,0.0596894156052957,0.939254200891159,0.438088967456879,3.69752315982946e-64
"KIRP","KIRP",-0.067045489351403,-0.00764353557376638,-0.00396061383024719,0.0543010163545487,0.663075139882607,0.0976019431098963,0.847984760034927,0.924027308378286,0.184555011072149,2.23170226418037e-57
"LIHC","LIHC",-0.0252674999960213,0.0122023456936382,0.0401001555623193,0.019616196538142,0.746307656486008,0.498397914477785,0.726744027985595,0.265574525343737,0.585523649339451,1.11268909782397e-84
"LUAD","LUAD",-0.0645766301831562,0.0178189851883616,-0.0414142540194851,0.00609580090851002,0.872818456783093,0.0274252634210921,0.551860366977412,0.160185772956866,0.834982180040294,1.68877746601373e-192
"LUSC","LUSC",0.018845280727425,-0.0100426964940766,0.063744114674859,0.00950175524943408,0.770159934232556,0.547622631080436,0.741497478528909,0.0422397586260507,0.756773910732611,2.09463807853182e-132
"PRAD","PRAD",0.00298875049623979,0.0174969903857254,0.0593423507956035,-0.0280388785735558,0.629995756269498,0.921243977637772,0.561454407879663,0.056173167759618,0.36283562599112,2.2125453054727e-91
"READ","READ",0.0384037930871068,0.0408045977011494,0.0727831297981114,0.0121593061398641,0.612503338932291,0.546534248507308,0.4664717468253,0.252682683574143,0.829164495080012,2.17896569874729e-19
"THCA","THCA",-0.0379502950021086,0.00415270233830271,0.00411200500455403,0.0637676764174198,0.608244244858212,0.20711967398607,0.88850934477325,0.897174753882808,0.0349001221614465,1.8697479782236e-81
"UCEC","UCEC",-0.0320000006801998,0.0217599088930917,-0.0168026346137552,0.0548797987860592,0.824586024101015,0.315469288339057,0.493303732826939,0.603337103489723,0.085591872028425,2.07315980301912e-143
